"strain";"heating";"logN0";"D_logref";"logC0"
"EGD-e (WT)";"2ºC/min";"5.26_0.08";"0.58_0.02";"2.55_0.33"
"RsbR1 only";"2ºC/min";"5.24_0.05";"0.62_0.02";"1.89_0.18"
"rsbR1 T241A";"2ºC/min";"5.24_0.04";"0.52_0.02";"3.79_0.26"
"rsbS S56A";"2ºC/min";"5.3_0.07";"0.59_0.02";"2.42_0.27"
"rsbT N49A";"2ºC/min";"5.16_0.04";"0.52_0.02";"3.06_0.24"
"ΔsigB";"2ºC/min";"5.2_0.09";"0.66_0.03";"2.11_0.35"
"EGD-e (WT)";"5ºC/min";"5.03_0.03";"0.61_0.02";"1.46_0.16"
"RsbR1 only";"5ºC/min";"5.31_0.06";"0.46_0.03";"1.48_0.25"
"rsbR1 T241A";"5ºC/min";"5.07_0.03";"0.59_0.02";"1.86_0.14"
"rsbS S56A";"5ºC/min";"5.17_0.05";"0.52_0.01";"1.36_0.14"
"rsbT N49A";"5ºC/min";"5.13_0.03";"0.51_0.01";"1.32_0.09"
"ΔsigB";"5ºC/min";"5.24_0.09";"0.55_0.02";"0.04_0.36"
"EGD-e (WT)";"10ºC/min";"5.03_0.07";"0.44_0.03";"1.34_0.27"
"RsbR1 only";"10ºC/min";"5.13_0.05";"0.4_0.02";"1.22_0.16"
"rsbR1 T241A";"10ºC/min";"5.21_0.05";"0.49_0.02";"1.24_0.18"
"rsbS S56A";"10ºC/min";"4.95_0.11";"0.38_0.02";"0.18_0.33"
"rsbT N49A";"10ºC/min";"5.19_0.08";"0.26_0.02";"0.38_0.22"
"ΔsigB";"10ºC/min";"5.26_0.08";"0.38_0.02";"0.41_0.25"
"EGD-e (WT)";"14ºC/min";"5.08_0.05";"0.28_0.02";"1.91_0.21"
"RsbR1 only";"14ºC/min";"5.04_0.04";"0.26_0.02";"2.25_0.24"
"rsbR1 T241A";"14ºC/min";"5.09_0.05";"0.39_0.04";"2.02_0.33"
"rsbS S56A";"14ºC/min";"4.98_0.07";"0.18_0.02";"2.02_0.24"
"rsbT N49A";"14ºC/min";"5.19_0.07";"0.26_0.02";"1.31_0.18"
"ΔsigB";"14ºC/min";"5.15_0.09";"0.34_0.02";"0.44_0.26"
